Problem Category,Product Name,Product Price,Product URL,Product Description
Light Leaks,CLOUDLAB 844 Advance Grow Tent 4x4,$299-399,https://acinfinity.com/hydroponics-growers/advance-grow-tents/cloudlab-844-advance-grow-tent-4x4-2000d-diamond-mylar-canvas-48-x-48-x-80/,"48x48x80 tent with 2000D light-proof canvas, front zipper flap cover, 500G light-proof layer, SBS zippers with inner ribbon stitching seal, supports 250lbs of equipment"
Light Leaks,CLOUDLAB 866 Advance Grow Tent 5x5,$349-449,https://acinfinity.com/hydroponics-growers/advance-grow-tents/cloudlab-866-advance-grow-tent-5x5-2000d-diamond-mylar-canvas-60-x-60-x-80/,"60x60x80 tent with 2000D waterproof canvas, zipper flap protection, sealed duct ports, light-proof cable passthrough, supports 250lbs"
Light Leaks,CLOUDLAB 632 Advance Grow Tent 3x2,$199-249,https://acinfinity.com/hydroponics-growers/cloudlab-632-advance-grow-tent-3x2-thickest-1-in-poles-and-2000d-canvas-highest-reflective-mylar-largest-zipper-windows-36-x-24-x-72/,"36x24x72 compact tent with 2000D canvas, protective zipper cover, reinforced light sealing, controller mounting plate"
Light Leaks,CLOUDLAB 642 Advance Grow Tent 4x2,$229-299,https://acinfinity.com/hydroponics-growers/advance-grow-tents/cloudlab-642-advance-grow-tent-4x2-2000d-diamond-mylar-canvas-48-x-24-x-72/,"48x24x72 tent with 2000D canvas, complete light blocking features, zipper flap, 250lb capacity"
Light Leaks,CLOUDLAB 894 Advance Grow Tent 8x4,$449-549,https://acinfinity.com/hydroponics-growers/cloudlab-894-advance-grow-tent-8x4-thickest-1-in-poles-highest-density-2000d-diamond-mylar-canvas-96-x-48-x-80/,"96x48x80 tent, 18 plant capacity, 2000D canvas, front zipper protective cover, 150lb support"
Light Leaks,CLOUDLAB 811 Advance Grow Tent 10x10,$749-899,https://acinfinity.com/hydroponics-growers/cloudlab-811-advance-grow-tent-10x10-thickest-1-in-poles-and-2000d-canvas-highest-reflective-mylar-largest-zipper-windows-120-x-120-x-80/,"120x120x80 commercial tent with 2000D canvas, complete light-proof construction, largest observation windows"
Light Leaks,CLOUDLAB 816 Advance Grow Tent 10x5,$599-749,https://acinfinity.com/hydroponics-growers/cloudlab-816-advance-grow-tent-10x5-thickest-1-in-poles-and-2000d-canvas-highest-reflective-mylar-largest-zipper-windows-120-x-60-x-80/,"120x60x80 large tent, 2000D light-blocking canvas, sealed construction, heavy-duty zippers"
Poor Light Reflection,CLOUDLAB 844 Advance Grow Tent 4x4,$299-399,https://acinfinity.com/hydroponics-growers/advance-grow-tents/cloudlab-844-advance-grow-tent-4x4-2000d-diamond-mylar-canvas-48-x-48-x-80/,"Lab-tested highest reflective diamond mylar (tested with Agilent UV-Vis-NIR Spectrophotometer), maximizes light intensity and plant growth"
Poor Light Reflection,CLOUDLAB 866 Advance Grow Tent 5x5,$349-449,https://acinfinity.com/hydroponics-growers/advance-grow-tents/cloudlab-866-advance-grow-tent-5x5-2000d-diamond-mylar-canvas-60-x-60-x-80/,"Reengineered diamond mylar with highest reflectivity rating for maximum light distribution"
Poor Light Reflection,CLOUDLAB 894 Advance Grow Tent 8x4,$449-549,https://acinfinity.com/hydroponics-growers/cloudlab-894-advance-grow-tent-8x4-thickest-1-in-poles-highest-density-2000d-diamond-mylar-canvas-96-x-48-x-80/,"Cross-patterned diamond mylar reflects and maximizes grow light output across large area"
Temperature Control,CLOUDLINE PRO T6 Inline Fan 6-inch,$179-229,https://acinfinity.com/hydroponics-growers/cloudline-pro-t6-quiet-inline-duct-fan-system-with-temperature-humidity-vpd-controller-6-inch/,"402 CFM fan with Controller 69 PRO, dynamic temperature triggers, WiFi app control, 32 dBA quiet operation, VPD programming"
Temperature Control,CLOUDLINE PRO T4 Inline Fan 4-inch,$149-179,https://acinfinity.com/hydroponics-growers/cloudline-pro-t4-quiet-inline-duct-fan-system-with-temperature-humidity-vpd-controller-4-inch/,"205 CFM quiet fan with smart controller, temperature/humidity/VPD automation, WiFi app"
Temperature Control,CLOUDLINE PRO T8 Inline Fan 8-inch,$249-299,https://acinfinity.com/hydroponics-growers/ventilation/inline-fan-systems/cloudline-pro-t8-quiet-inline-duct-fan-system-with-temperature-humidity-vpd-controller-8-inch/,"807 CFM high-performance fan, Controller 69 PRO, dynamic climate control, large tent ventilation"
Temperature Control,TERRAFORM 7 Multi-Function AC,$899-1299,https://acinfinity.com/hydroponics-growers/us-only-terraform-7-multi-functional-air-conditioner-with-heater-dehumidifier-and-circulator-vpd-controller-4-way-ducting-for-grow-tents-8000-btu-mksd/,"8000 BTU 4-in-1: cooling/heating/dehumidifying/fan, VPD controller, 4-way ducting, 10x10ft coverage, pressure control"
